fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2021_Q3,41706000000.0,0,38321000000.0,43076000000.0,35021000000.0,38321000000.0,45761000000.0,43076000000.0,43076000000.0,43076000000.0,41406947097.43456,41278331805.23784,41022003370.64688,38813356392.85714,38242308096.0,41066101000.95429,39648860308.05418,43076000000.0,43076000000.0,39393968594.53057,44037745784.27893
FY2021_Q4,46152000000.0,0,39992250000.0,41706000000.0,38033000000.0,39992250000.0,42930333333.333336,41706000000.0,41706000000.0,41706000000.0,44522624599.4643,44278615883.31883,43809233801.80788,40401247634.92066,42347102208.0,43554445472.40772,42839275528.90216,41706000000.0,41706000000.0,41756058229.05902,42503138319.19013
FY2022_Q1,45317000000.0,0,42022000000.0,46152000000.0,37154000000.0,42022000000.0,49151333333.333336,46152000000.0,46152000000.0,46152000000.0,45881527016.915016,45712075581.49318,45350143309.45615,42621485638.88889,43884478464.0,44591946586.17659,44906296119.82391,46152000000.0,46152000000.0,43614243630.22087,47246882865.96707
FY2022_Q2,51728000000.0,0,44062750000.0,45317000000.0,43076000000.0,44062750000.0,46064000000.0,45317000000.0,45317000000.0,45317000000.0,48271827172.45483,47991632968.68672,47454211530.37102,43920695464.28571,45833158656.0,47794622632.73612,49830339803.71756,45317000000.0,45317000000.0,44120083737.14549,46277151640.95729
FY2022_Q3,49360000000.0,0,46225750000.0,51728000000.0,41706000000.0,46225750000.0,55068666666.66666,51728000000.0,51728000000.0,51728000000.0,50982890371.03566,50852357621.04227,50477993426.75961,46479470530.42329,47331262464.0,49979463187.87985,49331704002.443535,51728000000.0,51728000000.0,51187905870.81734,53167650943.418
FY2022_Q4,51865000000.0,0,48139250000.0,49360000000.0,46152000000.0,48139250000.0,50429333333.333336,49360000000.0,49360000000.0,49360000000.0,54104724931.48924,53684619049.0444,52946180956.97177,48071473320.10582,51001843712.0,52344313599.55234,52243534398.24714,49360000000.0,49360000000.0,50415378196.38056,50489816917.01105
FY2023_Q1,50122000000.0,0,49567500000.0,51865000000.0,45317000000.0,49567500000.0,54047666666.66666,51865000000.0,51865000000.0,51865000000.0,53163911671.892525,52931757695.59248,52410993531.488014,49713969879.62964,51451310080.0,50249340996.66121,51679234606.77696,51865000000.0,51865000000.0,50846038427.21255,53135373908.215935
FY2023_Q2,52747000000.0,0,50768750000.0,50122000000.0,51728000000.0,50768750000.0,49586666666.66666,50122000000.0,50122000000.0,50122000000.0,53674899521.856224,53317502829.78038,52660040176.26557,50592579884.92065,51778740224.0,52880149046.47978,55597169680.32609,50122000000.0,50122000000.0,51887721669.21857,51175541148.29091
FY2023_Q3,52857000000.0,0,51023500000.0,52747000000.0,49360000000.0,51023500000.0,53876000000.0,52747000000.0,52747000000.0,52747000000.0,53509231420.83056,53307397180.03084,52810428317.23872,50633690705.02648,50240851968.0,51287017794.41803,50924276287.44231,52747000000.0,52747000000.0,51218285841.5515,53943167047.23197
FY2023_Q4,56189000000.0,0,51897750000.0,52857000000.0,51865000000.0,51897750000.0,53187666666.66666,52857000000.0,52857000000.0,52857000000.0,55165022287.942825,54870792259.93167,54264209075.38352,51868941788.3598,52631183360.0,55254570974.46962,54814507524.60792,52857000000.0,52857000000.0,51705209402.22947,53995421993.22006
