fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2021_Q3,29010000000.0,0,26197500000.0,29077000000.0,21470000000.0,26197500000.0,31612666666.666668,29077000000.0,29077000000.0,29077000000.0,30329832940.290657,29997022641.091183,29792079413.528072,26263014773.809525,26175363072.0,28695132360.48436,33165957035.888504,29077000000.0,29077000000.0,26367034220.263084,30999779452.95893
FY2021_Q4,33671000000.0,1,28082500000.0,29010000000.0,28072000000.0,28082500000.0,29322666666.666668,31500000000.0,29010000000.0,29010000000.0,31453452000.187126,31245366113.165504,31054523123.053352,27676007575.396828,28761280512.0,31522983601.912724,34000496230.76838,29010000000.0,29010000000.0,29467958320.35,30660711932.9784
FY2022_Q1,27908000000.0,1,29482250000.0,33671000000.0,26171000000.0,29482250000.0,36171000000.0,28000000000.0,33671000000.0,33671000000.0,37064034938.94209,36920865669.42056,36906726631.2989,29703523678.57142,29724207104.0,33069543288.01784,30853691050.86999,33671000000.0,33671000000.0,31244206733.22708,35081014346.88748
FY2022_Q2,28822000000.0,1,29916500000.0,27908000000.0,29077000000.0,29916500000.0,27518333333.33333,29000000000.0,29554571428.571423,29000000000.0,27424006739.12881,28736765537.988968,29209436123.37532,29624837277.77778,32290873344.0,29811367586.212524,30695676760.383545,27908000000.0,27908000000.0,30789499786.38783,28663753197.10973
FY2022_Q3,27714000000.0,1,29852750000.0,28822000000.0,29010000000.0,29852750000.0,28759333333.33333,27250000000.0,26302089743.58975,27250000000.0,20571693122.19755,22451862277.218994,23535773240.565086,29105476551.587284,28432476160.0,23946638697.27279,28846073840.75885,28822000000.0,28822000000.0,29625446506.425644,29195535649.137035
FY2022_Q4,32165000000.0,1,29528750000.0,27714000000.0,33671000000.0,29528750000.0,25728333333.33333,31250000000.0,32931669195.751137,31250000000.0,32166641199.16008,26592381956.943794,26789669614.514942,29122205789.682533,28111831040.0,32289601763.96323,31646854927.08488,27714000000.0,27714000000.0,29050646245.53688,28846738194.87052
FY2023_Q1,28645000000.0,1,29152250000.0,32165000000.0,27908000000.0,29152250000.0,33584000000.0,27250000000.0,27101427958.833626,27250000000.0,29575239576.23752,29026001704.28945,29336194685.085373,28327497087.30159,27979294720.0,28992532992.5574,26408517461.89469,32165000000.0,32165000000.0,27607613161.23019,32313216517.60982
FY2023_Q2,31999000000.0,1,29336500000.0,28645000000.0,28822000000.0,29336500000.0,28586000000.0,30750000000.0,31912068965.51724,30750000000.0,33419204957.14826,30476689133.71017,30394972448.64045,31044246559.523804,28789733376.0,31633798303.335,29477742303.33131,28645000000.0,28645000000.0,34239101215.145924,29730099217.38716
FY2023_Q3,34146000000.0,1,30130750000.0,31999000000.0,27714000000.0,30130750000.0,33427333333.33333,33250000000.0,35008944112.62798,33250000000.0,37960419345.16351,31243561660.135323,30967481299.921272,31487022103.17459,32751339520.0,28960541080.622635,32015726974.883823,31999000000.0,31999000000.0,34379081708.480965,33083986631.224262
FY2023_Q4,40111000000.0,1,31738750000.0,34146000000.0,32165000000.0,31738750000.0,34806333333.333336,38250000000.0,40321206352.782166,38250000000.0,39145858314.35281,35029403894.2569,34251424932.329018,32790651798.94179,32475697152.0,38177843319.56531,39903209699.08861,34146000000.0,34146000000.0,33983712268.38242,35807785733.44783
FY2024_Q1,36455000000.0,1,33725250000.0,40111000000.0,28645000000.0,33725250000.0,43933000000.0,35750000000.0,37357256949.34387,35750000000.0,48153202176.241714,40783315501.09061,39873113112.020096,35094928039.68255,39660175360.0,39729302962.74949,36670389024.207146,40111000000.0,40111000000.0,37337233758.45167,40765855661.34056
FY2024_Q2,39071000000.0,1,35677750000.0,36455000000.0,31999000000.0,35677750000.0,37940333333.333336,37750000000.0,39302857960.69936,37750000000.0,43621830870.3676,41634520912.16618,40697404533.43146,36088426764.550255,36575731712.0,37910229390.077415,38861464713.86859,36455000000.0,36455000000.0,36455958349.360886,37561700326.10435
FY2024_Q3,40589000000.0,1,37445750000.0,39071000000.0,34146000000.0,37445750000.0,40712666666.66666,39750000000.0,41401828926.79459,39750000000.0,39342457464.8225,40748664036.62724,40003804293.10156,37528786291.0053,39644377088.0,37035977047.39534,39814676268.74037,39071000000.0,39071000000.0,39065584006.09072,40326750921.32418
FY2024_Q4,48385000000.0,1,39056500000.0,40589000000.0,40111000000.0,39056500000.0,40748333333.333336,46500000000.0,48280593162.720535,46500000000.0,43288897548.99968,44098718182.25084,42980182194.6501,38926290584.656105,40045957120.0,44845628754.665855,45620609221.18109,40589000000.0,40589000000.0,40534888412.91557,42925402126.10552
FY2025_Q1,42314000000.0,1,41125000000.0,48385000000.0,36455000000.0,41125000000.0,52361666666.66666,40650000000.0,42121165116.39115,40650000000.0,48347197287.303024,48545781673.4341,47677932874.33846,41623737582.01058,47382687744.0,48209787394.41636,44729262591.463806,48385000000.0,48385000000.0,40810075858.71671,48397230089.92926
