fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2021_Q3,65118000000.0,0,55066250000.0,61880000000.0,46173000000.0,55066250000.0,67115666666.66666,61880000000.0,61880000000.0,61880000000.0,56865174960.1857,56342778423.766335,56165827181.86369,55301484007.9365,55315636224.0,59188749423.295685,56577848727.15687,61880000000.0,61880000000.0,58561963587.625015,62212939856.71951
FY2021_Q4,75325000000.0,0,59802500000.0,65118000000.0,56898000000.0,59802500000.0,67858000000.0,65118000000.0,65118000000.0,65118000000.0,63013730016.4656,62429231458.94803,62202292972.0164,59416507542.32802,64886992896.0,63827125927.08034,70487898075.28441,65118000000.0,65118000000.0,60743819760.47623,65784768243.39449
FY2022_Q1,68011000000.0,0,64409250000.0,75325000000.0,55314000000.0,64409250000.0,81995333333.33333,75325000000.0,75325000000.0,75325000000.0,72632264619.25403,71899835903.08633,71581119781.62048,64961636373.01587,75290828800.0,71364952000.22922,64246814610.69913,75325000000.0,75325000000.0,74414584018.22078,77231064945.4067
FY2022_Q2,69685000000.0,0,67583500000.0,68011000000.0,61880000000.0,67583500000.0,70054666666.66667,68011000000.0,68011000000.0,68011000000.0,72466523497.84496,71882252699.4168,71593243566.43352,67275219984.12699,74192707584.0,70918445888.276,66636053239.74743,68011000000.0,68011000000.0,71673257480.6167,68725102981.07692
FY2022_Q3,69092000000.0,0,69534750000.0,69685000000.0,65118000000.0,69534750000.0,71207333333.33333,69685000000.0,69685000000.0,69685000000.0,69411825473.63547,68878424557.24841,68592436922.737785,68765566980.15872,69551628288.0,69023703717.21342,74532492489.99185,69685000000.0,69685000000.0,71077998638.88329,70504952189.64447
FY2022_Q4,76048000000.0,0,70528250000.0,69092000000.0,75325000000.0,70528250000.0,67014333333.333336,69092000000.0,69092000000.0,69092000000.0,69800880030.57028,69310976525.22223,69022851126.0614,69168846603.17464,69678112768.0,69326239867.79121,77566875176.90329,69092000000.0,69092000000.0,67539625459.11248,69784339013.68448
FY2023_Q1,69787000000.0,0,70709000000.0,76048000000.0,68011000000.0,70709000000.0,78727000000.0,76048000000.0,76048000000.0,76048000000.0,73918317238.79572,73363624166.01987,73015485412.66394,70558704345.23807,68176011264.0,73292712940.03748,65342692476.78797,76048000000.0,76048000000.0,71139220351.64551,77348106647.35492
FY2023_Q2,74604000000.0,0,71153000000.0,69787000000.0,69685000000.0,71153000000.0,69821000000.0,69787000000.0,69787000000.0,69787000000.0,73394228625.70923,72939712815.12903,72623115250.16348,70845058583.69409,66933792768.0,72308351234.30905,72041294808.60995,69787000000.0,69787000000.0,70738319923.07251,70380689769.19084
FY2023_Q3,76693000000.0,0,72382750000.0,74604000000.0,69092000000.0,72382750000.0,76441333333.33333,74604000000.0,74604000000.0,74604000000.0,73070152076.24214,72602823259.45326,72263260215.66183,71552299733.16501,75051909120.0,72645602155.60744,72890540465.11964,74604000000.0,74604000000.0,69016458644.04405,75544828700.02473
FY2023_Q4,86310000000.0,0,74283000000.0,76693000000.0,76048000000.0,74283000000.0,76908000000.0,76693000000.0,76693000000.0,76693000000.0,76724224078.36113,76241870807.85547,75865881704.55148,72841687444.44444,72479170560.0,75854545429.28133,86716126558.48895,76693000000.0,76693000000.0,76705599804.09082,77745064052.47676
FY2024_Q1,80539000000.0,0,76848500000.0,86310000000.0,69787000000.0,76848500000.0,91817666666.66669,86310000000.0,86310000000.0,86310000000.0,83694996580.90866,83115286611.49443,82642655698.45947,77194918030.42323,83808239616.0,82505943289.14253,76410356612.23401,86310000000.0,86310000000.0,81544733549.33693,88174864859.93561
FY2024_Q2,84742000000.0,0,79536500000.0,80539000000.0,74604000000.0,79536500000.0,82517333333.33333,80539000000.0,80539000000.0,80539000000.0,84933972106.96173,84433529039.3576,83984502575.10876,79799959523.80948,83606093824.0,82850095944.10274,82430588298.71231,80539000000.0,80539000000.0,81039706320.87234,81694060939.84167
FY2024_Q3,88268000000.0,0,82071000000.0,84742000000.0,76693000000.0,82071000000.0,87425000000.0,84742000000.0,84742000000.0,84742000000.0,84281812567.03484,83775867945.67073,83309597588.43211,82278328247.35446,84307050496.0,83047023117.95703,86019632993.8955,84742000000.0,84742000000.0,82736449323.06494,86171347071.63335
FY2024_Q4,96469000000.0,0,84964750000.0,88268000000.0,86310000000.0,84964750000.0,88920666666.66667,88268000000.0,88268000000.0,88268000000.0,88491268213.45164,87960940934.28748,87445597584.27155,84595223294.97348,82864619520.0,86865871154.54431,98420421448.30748,88268000000.0,88268000000.0,84563040480.90007,89907062470.32426
FY2025_Q1,90234000000.0,0,87504500000.0,96469000000.0,80539000000.0,87504500000.0,101779000000.0,96469000000.0,96469000000.0,96469000000.0,95303305958.1268,94694497930.87224,94081632885.04848,88273280986.77242,93948878848.0,93278776383.8979,88264063683.4662,96469000000.0,96469000000.0,91561814288.53683,98758459027.73256
FY2025_Q2,96428000000.0,0,89928250000.0,90234000000.0,84742000000.0,89928250000.0,92064666666.66669,90234000000.0,90234000000.0,90234000000.0,95487779212.61684,94971728695.35812,94401333109.79666,90062162154.76186,93317963776.0,92698541147.97664,93794392484.77592,90234000000.0,90234000000.0,90995479408.5042,91764664804.1526
FY2025_Q3,102346000000.0,0,92849750000.0,96428000000.0,88268000000.0,92849750000.0,99148000000.0,96428000000.0,96428000000.0,96428000000.0,95698853041.6192,95155830340.29048,94552152399.0408,92629109007.93652,95150350336.0,93943842893.42102,97014740823.7284,96428000000.0,96428000000.0,92621495707.16516,98376764606.13487
FY2025_Q4,113829000000.0,0,96369250000.0,102346000000.0,96469000000.0,96369250000.0,104305000000.0,102346000000.0,102346000000.0,102346000000.0,102445456644.91736,101846987888.63324,101154331164.0268,96040199399.4709,95093776384.0,100048413260.15024,109812390187.29808,102346000000.0,102346000000.0,100413688758.5637,104696338359.73082
