fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2023_Q3,14158000000.0,1,13511000000.0,12949000000.0,15338000000.0,13511000000.0,12152666666.666666,13400000000.0,13627565682.769669,13306732538.27084,13154454633.14738,12429103913.49775,12396558989.030071,13150445265.873016,12964511744.0,13415655718.402643,12810531761.314726,12949000000.0,12949000000.0,12632756517.114332,12943338501.915993
FY2023_Q4,15406000000.0,1,13216000000.0,14158000000.0,14042000000.0,13216000000.0,14196666666.666666,14600000000.0,15011906989.527489,14511189823.061989,14578085159.867483,14456898909.0683,14313980816.692034,14449494437.830685,13723401216.0,13812233836.624718,13926201186.011951,14158000000.0,14158000000.0,14914357115.320171,14165079723.740765
FY2024_Q1,12724000000.0,1,13557000000.0,15406000000.0,11715000000.0,13557000000.0,16636333333.333334,12700000000.0,12861495558.541315,13227386793.074306,15404635820.204372,14918260837.783878,14777619974.424694,14109852332.01058,13932546048.0,15091352572.32941,15230091722.998589,15406000000.0,15406000000.0,14125617581.380257,15405181862.012486
FY2024_Q2,12833000000.0,1,13809250000.0,12724000000.0,12949000000.0,13809250000.0,12649000000.0,13000000000.0,13197045622.779428,12951367238.483364,12524167252.22122,12530833993.470972,12894902387.69638,13123584138.888884,13271309312.0,12562925459.717815,13231883727.126774,12724000000.0,12724000000.0,12896659529.705675,12703651157.99372
FY2024_Q3,13284000000.0,1,13780250000.0,12833000000.0,14158000000.0,13780250000.0,12391333333.333334,13000000000.0,13183195031.935024,12970498876.845312,12652424005.336754,12420392257.356844,12481115463.572588,13204621674.603174,13443343360.0,13466725724.08929,12907673312.337706,12833000000.0,12833000000.0,13848096586.606983,12811022233.037209
FY2024_Q4,14260000000.0,1,13561750000.0,13284000000.0,15406000000.0,13561750000.0,12576666666.666666,13800000000.0,14099780985.700598,13709216962.17923,13561209998.712934,13047103686.297472,13041281946.32034,13888351191.558443,14008933376.0,13233261700.647392,13206888164.52501,13284000000.0,13284000000.0,14153192560.010368,13274241047.032831
FY2025_Q1,12667000000.0,0,13275250000.0,14260000000.0,12724000000.0,13275250000.0,14772000000.0,14260000000.0,14260000000.0,14260000000.0,14038528447.55019,13976288028.328213,13908947407.556105,13164077141.534391,13485691904.0,14102213385.358166,14046440350.203531,14260000000.0,14260000000.0,13887134280.726845,14120718924.79511
FY2025_Q2,12859000000.0,0,13261000000.0,12667000000.0,12833000000.0,13261000000.0,12611666666.666666,12667000000.0,12667000000.0,12667000000.0,12593279173.836733,12760966825.077131,12961053620.141838,13110987666.666664,12930295808.0,12530367961.840574,12809293511.873903,12667000000.0,12667000000.0,13214741525.331083,12643988265.71346
FY2025_Q3,13653000000.0,0,13267500000.0,12859000000.0,13284000000.0,13267500000.0,12717333333.333334,12859000000.0,12859000000.0,12859000000.0,12763277423.048256,12788587740.981766,12813475393.618324,13404236968.253971,13686995968.0,13225705264.927856,13675568267.484318,12859000000.0,12859000000.0,13584796968.114609,12837927978.031256
FY2025_Q4,13674000000.0,1,13359750000.0,13653000000.0,14260000000.0,13359750000.0,13450666666.666666,13300000000.0,13533861825.838297,13360735905.534784,13753391074.92625,13385881859.769032,13339634641.05907,13884236142.85715,13998078976.0,13556489472.62436,14240503041.104715,13653000000.0,13653000000.0,14324812531.500746,13811725800.340338
